parkType,countryCode,countryName,name,latitude,longitude
national_park,AF,"Afghanistan","Ajar Valley",34,67
national_park,AF,"Afghanistan","Band-e Amir",34.839722222,67.230833333
national_park,AF,"Afghanistan","Nuristan",35.2,70.7
national_park,AL,"Albania","- Fir of Hotova",40.30361111,20.41111111
national_park,AL,"Albania","Albanian Alps",42.4554857,19.6381898
national_park,AL,"Albania","Butrint",39.746111,20.020278
national_park,AL,"Albania","Dajti",41.36583333,19.92555556
national_park,AL,"Albania","Divjakë-Karavasta",40.92416667,19.49305556
national_park,AL,"Albania","Fir of Drenovë",40.56619,20.82549
national_park,AL,"Albania","Llogara",40.21638889,19.57027778
national_park,AL,"Albania","Lurë-Dejë Mountain",41.783333333,20.183333333
national_park,AL,"Albania","Prespa",40.825555555,20.898611111
national_park,AL,"Albania","Shebenik",41.222643,20.450021
national_park,AL,"Albania","Shtamë Pass",41.52055556,19.89805556
national_park,AL,"Albania","Thethi",42.395833333,19.774444444
botanical_garden,AL,"Albania","Tirana",41.30991111,19.80604167
national_park,AL,"Albania","Tomorr Mountain",40.7,20.13333333
national_park,AL,"Albania","Valbonë Valley",42.45333333,19.88777778
national_park,AL,"Albania","Vjosa Wild River",40.124166666,20.4325
national_park,AL,"Albania","Zall-Gjoçaj",41.520556,19.898056
national_park,DZ,"Algeria","Belezma",35.58333,6.03333
theme_park,DZ,"Algeria","Ben Aknoun Park",36.744444444,3.008333333
national_park,DZ,"Algeria","Chrea",36.4,2.866666666
national_park,DZ,"Algeria","Djebel Aissa",32.873,-0.486
national_park,DZ,"Algeria","Djurdjura",36.4667,4.1333
national_park,DZ,"Algeria","El Kala",36.81666667,8.41666667
national_park,DZ,"Algeria","Gouraya",36.7667,5.1
botanical_garden,DZ,"Algeria","Hamma",36.748,3.076
theme_park,DZ,"Algeria","Kristel Park",35.843719828,-0.482176467
theme_park,DZ,"Algeria","Mostaland",35.955793132,0.0991824
national_park,DZ,"Algeria","Taza",36.7002,5.5594
national_park,DZ,"Algeria","Theniet El Had",35.853694444,1.968305555
national_park,DZ,"Algeria","Tlemcen",34.706346,-1.459733
theme_park,AD,"Andorra","Naturland",42.44138889,1.52833333
national_park,AO,"Angola","Bicuari",-15.333333333,14.833333333
national_park,AO,"Angola","Cameia",-11.88333333,21.66666667
national_park,AO,"Angola","Cangandala",-9.8,16.75
national_park,AO,"Angola","Iona",-16.66666667,12.33333333
national_park,AO,"Angola","Longa-Mavinga",-16.17,20.25
national_park,AO,"Angola","Luenge",-17.100972222,20.294055555
national_park,AO,"Angola","Luengue-Luiana",-16.58333333,21.83333333
national_park,AO,"Angola","Maiombe",-4.633333333,12.75
national_park,AO,"Angola","Mavinga",-16.17,20.25
national_park,AO,"Angola","Mucusso",-17.86666667,21.4
national_park,AO,"Angola","Mupa",-15.91666667,15.58333333
national_park,AO,"Angola","Quissama",-9.75,13.58333333
national_park,AI,"Anguilla","Fountain Cavern",18.257191,-63.026976
national_park,AR,"Argentina","Aconguija",-27.191215,-65.813987
national_park,AR,"Argentina","Aconquija",-27.292697487,-65.862865336
national_park,AR,"Argentina","Ansenuza",-30.333333333,-62.833333333
national_park,AR,"Argentina","Baritú",-22.583333,-64.616667
national_park,AR,"Argentina","Bosques Petrificados de Jaramillo",-47.6667,-68.1667
botanical_garden,AR,"Argentina","Buenos Aires",-34.582469444,-58.418597222
theme_park,AR,"Argentina","Buenos Aires Eco-Park",-34.58097222,-58.42
national_park,AR,"Argentina","Calilegua",-23.639,-64.838
national_park,AR,"Argentina","Campos del Tuyú",-36.35,-56.866666666
national_park,AR,"Argentina","Chaco",-26.83333,-59.66667
botanical_garden,AR,"Argentina","Chirau Mita",-29.16,-67.4875
national_park,AR,"Argentina","Ciervo de los Pantanos",-34.2525,-58.8678
national_park,AR,"Argentina","Copo",-25.96666667,-61.88333333
national_park,AR,"Argentina","El Impenetrable",-25.0095,-60.9959
national_park,AR,"Argentina","El Leoncito",-31.795809319,-69.333665024
national_park,AR,"Argentina","El Palmar",-31.85305556,-58.3225
national_park,AR,"Argentina","El Rey",-24.7,-64.63333333
botanical_garden,AR,"Argentina","El Rosedal De Palermo",-34.570633,-58.417287
national_park,AR,"Argentina","Iberá",-28.2605465,-58.6215364
national_park,AR,"Argentina","Iguazú",-25.683388888,-54.454777777
national_park,AR,"Argentina","Islas de Santa Fé",-32.433,-60.817
national_park,AR,"Argentina","Islote Lobos",-41.431944444,-65.058611111
theme_park,AR,"Argentina","Italpark",-34.58555556,-58.38611111
botanical_garden,AR,"Argentina","La municipalidad de Córdoba",-31.38638889,-64.24972222
botanical_garden,AR,"Argentina","La Plata",-34.9125,-57.93138889
botanical_garden,AR,"Argentina","La Plata Zoo and",-34.90968333,-57.93852778
national_park,AR,"Argentina","Lago Puelo",-42.183333333,-71.683333333
national_park,AR,"Argentina","Laguna Blanca",-39.041388888,-70.358333333
national_park,AR,"Argentina","Lanín",-40.1603,-71.3575
national_park,AR,"Argentina","Lihué Calel",-37.95,-65.65
botanical_garden,AR,"Argentina","Lorenzo Parodi",-31.5842478,-60.7073271
national_park,AR,"Argentina","Los Alerces",-42.8075,-71.89888889
national_park,AR,"Argentina","Los Arrayanes",-40.86139,-71.61944
national_park,AR,"Argentina","Los Cardones",-25.12533333,-66.18166667
national_park,AR,"Argentina","Los Glaciares",-50.330530387,-73.234164314
botanical_garden,AR,"Argentina","Lucien Hauman",-34.59077,-58.481549722
national_park,AR,"Argentina","Mburucuyá",-27.998622081,-58.00980969
national_park,AR,"Argentina","Monte León",-50.23333333,-69
national_park,AR,"Argentina","Nahuel Huapi",-41.003690915,-71.501456621
theme_park,AR,"Argentina","Parque de la Ciudad",-34.67175,-58.45108333
theme_park,AR,"Argentina","Parque de la Costa",-34.41819444,-58.57625
national_park,AR,"Argentina","Patagonia",-47.159166666,-71.316944444
national_park,AR,"Argentina","Perito Moreno",-47.81138889,-72.25055556
national_park,AR,"Argentina","Predelta",-32.15,-60.63333333
national_park,AR,"Argentina","Quebrada del Condorito",-31.66666667,-64.66666667
theme_park,AR,"Argentina","Republic of the Children",-34.887917,-58.021361
